model_key,model_label,run_count,cell_count,success_rate,wg_mean,sa_mean,gp_mean,ss_mean,hard_mean,hard_rank,full_mean,full_rank,rank_delta,hard_tier,full_tier,tier_changed,hard_ci_lower,hard_ci_mean,hard_ci_upper,hard_ci_width,probe_agreement
gpt_5_4,GPT-5.4,50,10,0.680000,4.562762,3.204836,4.314646,4.185159,3.883799,5,4.066600,1,-4,Top,Top,False,3.744689,3.883799,4.001238,0.256549,0.564500
claude_opus,Claude Opus 4.6,50,10,0.300000,4.545646,3.310294,3.861471,4.022159,3.927970,3,3.935200,2,-1,Top,Top,False,3.875941,3.927970,3.982444,0.106503,0.757100
gemini_3_1_pro,Gemini 3.1 Pro,50,10,0.480000,4.411048,2.999187,4.338222,3.906470,3.705117,9,3.913800,3,-6,Mid,Top,True,3.566615,3.705117,3.848028,0.281413,0.216700
claude_sonnet,Claude Sonnet 4.6,50,10,0.240000,4.658438,3.422152,3.539657,3.949030,4.040295,1,3.892800,4,3,Top,Top,False,3.950083,4.040295,4.119867,0.169784,0.600000
claude_haiku,Claude Haiku 4.5,50,10,0.340000,4.504286,3.102265,4.091889,3.824113,3.803276,7,3.881000,5,-2,Mid,Top,True,3.749626,3.803276,3.862399,0.112773,0.405400
gpt_5_2,GPT-5.2,50,10,0.380000,4.620366,3.203639,3.825889,3.856742,3.912002,4,3.877400,6,2,Top,Top,False,3.841044,3.912002,3.984640,0.143596,0.490900
deepseek_r1,DeepSeek R1,50,10,0.220000,4.645806,3.350203,3.579304,3.821152,3.998004,2,3.849600,7,5,Top,Top,False,3.948041,3.998004,4.049260,0.101219,0.442600
qwen_3_5,Qwen 3.5 397B,50,10,0.300000,4.366571,3.244960,3.921611,3.701457,3.805766,6,3.808200,8,2,Mid,Top,True,3.748415,3.805766,3.860606,0.112192,0.847500
gpt_5_3_chat,GPT-5.3 Chat,50,10,0.400000,4.540857,2.916651,3.759248,3.653608,3.728754,8,3.717400,9,1,Mid,Mid,False,3.643426,3.728754,3.817006,0.173580,0.614300
mistral_large,Mistral Large 3,50,10,0.400000,4.126480,2.744836,4.386667,3.483831,3.435658,12,3.684600,10,-2,Mid,Mid,False,3.379329,3.435658,3.493780,0.114451,0.408500
deepseek_v3_2,DeepSeek V3.2,50,10,0.240000,4.303611,2.911457,3.725556,3.483746,3.607534,11,3.606400,11,0,Mid,Mid,False,3.532184,3.607534,3.684981,0.152796,0.470600
grok_4,Grok 4,50,10,0.320000,4.382697,2.839460,3.132167,3.552237,3.611079,10,3.476400,12,2,Mid,Mid,False,3.512608,3.611079,3.709443,0.196836,0.246600
olmo_3_1,OLMo 3.1 32B,50,10,0.040000,2.179775,1.839403,1.454667,2.245258,2.009589,13,1.929800,13,0,Floor,Floor,False,1.944389,2.009589,2.086193,0.141803,0.285700
